Model	Treatment	Treatment target	Treatment type	BestResponse	Day_BestResponse	BestAvgResponse	Day_BestAvgResponse	TimeToDouble	Day_Last	ResponseCategory
X-1407	LJM716 + trastuzumab	"ERBB3,ERBB2"	combo	25.9	17	0.3	13	33.1	55	SD-->PD
X-1407	LKA136	"NTRK1,NTRK2,NTRK3"	single	214.2	24	60.7	14	11.5	31	PD
X-1407	LLM871	FGFR2/4	single	86.4	65	58.6	14	15.1	111	PD
X-1407	binimetinib	"MAP2K1,MAP2K2,MAPK"	single	-74.6	74	-16.3	102	102	102	SD
X-1407	paclitaxel	Tubulin	single	151.8	20	68.3	14	10.4	48	PD
X-1407	tamoxifen	ESR1	single	240.9	21	54.1	11	10.6	28	PD
X-1407	trastuzumab	ERBB2	single	229.1	20	66.2	14	8.9	27	PD
X-1407	untreated	"UNKNOWN,Untreated"	single	189.1	20	43.2	14	14.9	34	PD
X-1407	LFW527 + everolimus	"IGF1R,MTOR"	combo	-45.5	18	-15.27142857	20	20	20	SD
X-141	BYL719	PIK3CA	single	-48.3	35	-18.9	44	110.6	139	SD-->PD
X-141	BYL719 + HSP990	"PIK3CA,HSP90"	combo	-100	105	-66.8	139	139	139	CR
X-141	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	139.9	21	7.7	12	16.2	28	PD
X-141	HSP990	HSP90	single	43.6	41	35.1	11	15.7	109	PD
X-141	LEE011	"CDK4,CDK6,CDK4/6"	single	53.6	21	18.8	14	31.5	44	PD
X-141	LEE011 + everolimus	"CDK4,CDK6,MTOR,CDK4/6"	combo	-49.9	42	-27.1	66	136	136	SD-->-->PD
X-141	LJM716	ERBB3	single	-17.5	31	2.8	38	48.7	52	SD-->PD
X-141	everolimus	MTOR	single	-42.9	23	-24.1	94	118	118	SD-->-->PD
X-141	untreated	"UNKNOWN,Untreated"	single	-22.8	11	-10.9	18	49.5	112	SD-->PD
X-142	BYL719	PIK3CA	single	196.7	20	62.9	12	9.3	55	PD
X-142	BYL719 + HSP990	"PIK3CA,HSP90"	combo	2.2	33	15.4	33	55.5	82	SD-->PD
X-142	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	180.8	21	27.9	13	15.3	55	PD
X-142	HSP990	HSP90	single	71.8	20	24.7	12	30.6	55	PD
X-142	LEE011	"CDK4,CDK6,CDK4/6"	single	10.8	12	9.3	12	35.5	82	SD-->PD
X-142	LJM716	ERBB3	single	78.1	21	13.3	13	37.1	76	PD
X-142	everolimus	MTOR	single	-15.6	15	-11.4	20	61.5	82	SD-->PD
X-142	untreated	"UNKNOWN,Untreated"	single	316.4	21	70.6	13	9.7	42	PD
X-144	BYL719 + HSP990	"PIK3CA,HSP90"	combo	133.9	29	110.5	13	4	36	PD
X-144	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	99.4	21	23.9	14	21	31	PD
X-144	HSP990	HSP90	single	586.1	15	197.5	13	4.6	15	PD
X-144	LEE011	"CDK4,CDK6,CDK4/6"	single	284.1	19	140.9	12	5	19	PD
X-144	LEE011 + everolimus	"CDK4,CDK6,MTOR,CDK4/6"	combo	97	23	38.7	13	23.2	55	PD
X-144	LJM716	ERBB3	single	525	20	98.2	13	6.7	20	PD
X-144	everolimus	MTOR	single	435.6	19	122.6	13	5.2	19	PD
X-144	untreated	"UNKNOWN,Untreated"	single	766	13	264.3	13	4.6	13	PD
X-1441	5FU	chemotherapy	single	8.2	13	8.8	13	55.8	86	SD-->PD
X-1441	BKM120	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	-51.7	17	-39.8	31	81	81	PR
X-1441	BKM120 + LJC049	"panPI3K,TNKS"	combo	-11.2	14	-8.2	14	14	14	SD
X-1441	BYL719	PIK3CA	single	-0.1	29	3.8	16	90	90	SD-->PD
X-1441	BYL719 + cetuximab	"PIK3CA,EGFR"	combo	-7.4	11	-4.7	11	62.1	78	SD-->PD
X-1441	BYL719 + cetuximab + encorafenib	"PIK3CA,EGFR,BRAF"	combo	15.5	11	8.2	11	88	88	SD-->PD
X-1441	BYL719 + encorafenib	"PIK3CA,BRAF"	combo	-5.7	14	-1.8	19	42	42	SD
X-1441	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	-17.3	17	-6.6	35	88	88	SD-->PD
X-1441	BYL719 + binimetinib	"PIK3CA,MAPK"	combo	-56.4	22	-34.3	56	88	88	PR
X-1441	cetuximab	EGFR	single	-32.7	13	-14.1	16	48.7	86	SD-->PD
X-1441	cetuximab + encorafenib	"EGFR,BRAF"	combo	-9.1	31	5.1	42	81	81	SD-->-->PD
X-1441	CGM097	MDM2	single	72.4	21	23.9	14	29.3	84	PD
X-1441	CKX620	MAPK	single	-56.2	24	-21.2	39	88	88	PR-->PD
X-1441	CLR457	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	-31	34	-17	45	90	90	SD-->PD
X-1441	HDM201	MDM2	single	34.5	28	7	14	52	52	SD-->PD
X-1441	LEE011	"CDK4,CDK6,CDK4/6"	single	6.8	17	5	14	70.5	91	SD-->PD
X-1441	encorafenib	BRAF	single	81.5	24	42.4	14	26.8	45	PD
X-1441	LJC049	TNKS	single	104.6	21	41.8	14	13.7	42	PD
X-1441	LKA136	"NTRK1,NTRK2,NTRK3"	single	39.8	24	4.2	13	43.1	90	PD
X-1441	binimetinib	"MAP2K1,MAP2K2,MAPK"	single	-57.6	28	-32.6	49	91	91	PR-->-->PD
X-1441	untreated	"UNKNOWN,Untreated"	single	148.5	21	49	14	15.1	49	PD
X-1442	BGJ398	FGFR	single	266.1	21	102.1	13	7.5	21	PD
X-1442	BKM120	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	44.8	21	24.2	13	29.5	55	PD
X-1442	BKM120 + binimetinib	"panPI3K,MAPK,MAP2K1,MAP2K2,PIK3CA,PIK3CB,PIK3CG,PIK3CD"	combo	-100	80	-48.6	125	23.8	125	CR
X-1442	BYL719	PIK3CA	single	127.9	21	36.3	13	19.4	21	PD
X-1442	BYL719 + LGH447	"PIK3CA,PIM"	combo	265.8	21	97.5	13	7.5	21	PD
X-1442	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	85.9	21	25.2	13	21.6	34	PD
X-1442	cetuximab	EGFR	single	705.9	21	145.1	13	7	21	PD
X-1442	CGM097	MDM2	single	261.9	13	138.2	13	7	13	PD
X-1442	CKX620	MAPK	single	-13.8	13	0.6	13	39.2	71	SD-->PD
X-1442	CLR457	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	129	20	66.1	14	8.1	27	PD
X-1442	HDM201	MDM2	single	158.2	13	86.2	13	8.8	13	PD
X-1442	erlotinib	EGFR	single	13.6	11	0	11	11	11	SD
X-1442	HSP990	HSP90	single	273	18	125.2	14	4.5	18	PD
X-1442	INC280	MET	single	72.1	23	35.2	14	9.7	97	PD
X-1442	LCL161 + paclitaxel	"BIRC2,TUBB,Tubulin"	combo	228.8	24	47.3	11	12.9	24	PD
X-1442	LEE011	"CDK4,CDK6,CDK4/6"	single	267.7	13	154.8	13	7	13	PD
X-1442	LGH447	PIM	single	197.9	21	44.8	13	13.6	21	PD
X-1442	LLM871	FGFR2/4	single	396.5	18	76.9	14	10.2	18	PD
X-1442	binimetinib	"MAP2K1,MAP2K2,MAPK"	single	-29.6	14	-20	14	97	97	SD-->PD
X-1442	paclitaxel	Tubulin	single	246.3	10	136.1	10	4	10	PD
X-1442	untreated	"UNKNOWN,Untreated"	single	111.8	13	62.3	13	12.2	13	PD
X-1443	5FU	chemotherapy	single	6.5	20	9.8	20	29	29	SD-->PD
X-1443	BKM120	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	210.7	20	139.8	15	7	29	PD
X-1443	BKM120 + LJC049	"panPI3K,TNKS"	combo	212.6	33	9.1	14	15.2	46	PD
X-1443	BYL719	PIK3CA	single	179.9	24	93.5	15	8.7	48	PD
X-1443	BYL719 + cetuximab	"PIK3CA,EGFR"	combo	-74.7	77	-51.8	91	91	91	PR
X-1443	BYL719 + cetuximab + encorafenib	"PIK3CA,EGFR,BRAF"	combo	-100	52	-84.5	96	96	96	CR
X-1443	BYL719 + encorafenib	"PIK3CA,BRAF"	combo	-1.2	9	5.2	13	37.7	69	SD-->PD
X-1443	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	-33.7	32	-19.6	32	32	32	SD
X-1443	BYL719 + binimetinib	"PIK3CA,MAPK"	combo	-59.6	49	-44.6	65	83	83	PR
X-1443	cetuximab	EGFR	single	-100	39	-81.4	83	83	83	CR
X-1443	cetuximab + encorafenib	"EGFR,BRAF"	combo	-95.3	66	-60.6	105	105	105	CR
X-1443	CGM097	MDM2	single	118.8	20	28.3	15	18.6	29	PD
X-1443	CKX620	MAPK	single	-15.1	15	-6.1	20	29	29	SD-->PD
X-1443	CLR457	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	-18.2	14	-9.4	14	55	55	SD-->PD
X-1443	HDM201	MDM2	single	173.9	20	77.5	15	7	29	PD
X-1443	LEE011	"CDK4,CDK6,CDK4/6"	single	-3.4	20	-2.9	20	29	29	SD-->PD
X-1443	encorafenib	BRAF	single	125.1	20	50.6	15	13	29	PD
X-1443	LJC049	TNKS	single	122.4	16	42.5	15	14.2	16	PD
X-1443	LKA136	"NTRK1,NTRK2,NTRK3"	single	-14.4	9	-8.4	14	50	55	SD-->PD
X-1443	binimetinib	"MAP2K1,MAP2K2,MAPK"	single	-39.8	15	-31.6	15	29	29	SD
X-1443	untreated	"UNKNOWN,Untreated"	single	-7.9	20	-2.1	20	40.8	61	SD-->PD
X-1443	LFW527 + binimetinib	"IGF1R,MAP2K1,MAP2K2"	combo	4.9	28	3.575	11	32	32	SD-->PD
X-146	BYL719	PIK3CA	single	-22.9	10	-20.9	14	65.1	91	SD-->PD
X-146	BYL719 + HSP990	"PIK3CA,HSP90"	combo	-94.6	33	-64.1	40	40	40	PR
X-146	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	-81.9	64	-56.3	64	64	64	PR
X-146	HSP990	HSP90	single	-28.3	20	-15.3	40	40	40	SD
X-146	LEE011	"CDK4,CDK6,CDK4/6"	single	-55.8	12	-35	15	34.8	55	PR-->PD
X-146	LEE011 + everolimus	"CDK4,CDK6,MTOR,CDK4/6"	combo	-32.9	25	-13.1	60	60	60	SD
X-146	LJM716	ERBB3	single	-55.5	60	-34.5	60	60	60	PR
X-146	untreated	"UNKNOWN,Untreated"	single	13.7	53	34.6	11	16.3	88	PD
X-1468	BGJ398	FGFR	single	100	21	25.6	14	21	56	PD
X-1468	BKM120	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	-27.2	17	-13.9	38	91	91	SD-->-->PD
X-1468	BYL719	PIK3CA	single	-2.5	17	1.5	21	89.3	91	SD-->-->PD
X-1468	BYL719 + LEE011	"PIK3CA,CDK4/6"	combo	-46.8	63	-30.7	97	97	97	SD
X-1468	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	-11.9	10	-11.9	14	39.6	91	SD-->PD
X-1468	CGM097	MDM2	single	185.9	21	15.9	14	16.7	35	PD
X-1468	CLR457	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	7.7	10	6	14	91	91	SD-->PD
X-1468	HDM201	MDM2	single	10	10	5.9	14	43.6	77	SD-->PD
X-1468	INC424	JAK	single	255	21	54	14	11	49	PD
X-1468	LEE011	"CDK4,CDK6,CDK4/6"	single	-14.7	14	-3.1	21	67.9	91	SD-->PD
X-1468	LEE011 + everolimus	"CDK4,CDK6,MTOR,CDK4/6"	combo	14.7	10	10.3	14	45.3	84	SD-->PD
X-1468	LFA102	PRLR 	single	153.6	21	43.2	14	13.9	42	PD
X-1468	LJM716	ERBB3	single	2.9	15	10.3	15	48.4	81	SD-->PD
X-1468	LJM716 + trastuzumab	"ERBB3,ERBB2"	combo	5.2	14	7.1	14	29.8	56	SD-->PD
X-1468	LKA136	"NTRK1,NTRK2,NTRK3"	single	122.7	21	25.6	14	18.9	56	PD
X-1468	LLM871	FGFR2/4	single	4.9	10	4.7	14	67.3	97	SD-->PD
X-1468	binimetinib	"MAP2K1,MAP2K2,MAPK"	single	1.2	10	1.2	14	71	91	SD-->PD
X-1468	paclitaxel	Tubulin	single	48.3	45	17.9	14	78.8	91	PD
X-1468	tamoxifen	ESR1	single	338.5	21	74.2	14	9.6	28	PD
X-1468	trastuzumab	ERBB2	single	68.6	21	14.9	14	23.6	42	PD
X-1468	untreated	"UNKNOWN,Untreated"	single	121	21	20.8	14	19.5	35	PD
X-1468	LFW527 + everolimus	"IGF1R,MTOR"	combo	-4.8	10	6.483333333	17	48	48	SD
X-1479	5FU	chemotherapy	single	-0.1	40	-3.1	12	67.6	82	SD-->PD
X-1479	BKM120	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	2.4	10	5.1	14	45.9	84	SD-->PD
X-1479	BKM120 + LJC049	"panPI3K,TNKS"	combo	-3	12	-2	12	33	33	SD-->PD
X-1479	BYL719	PIK3CA	single	1.2	12	-2.1	12	46.3	78	SD-->PD
X-1479	BYL719 + cetuximab	"PIK3CA,EGFR"	combo	27.1	24	11.1	11	28	28	SD-->PD
X-1479	BYL719 + cetuximab + encorafenib	"PIK3CA,EGFR,BRAF"	combo	77.7	21	27.2	11	24.4	67	PD
X-1479	BYL719 + encorafenib	"PIK3CA,BRAF"	combo	-7.6	12	-3	12	46.1	90	SD-->PD
X-1479	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	-15	17	-12.1	17	64.2	83	SD-->PD
X-1479	BYL719 + binimetinib	"PIK3CA,MAPK"	combo	-61.1	47	-34.2	72	90	90	PR-->-->PD
X-1479	cetuximab	EGFR	single	32.3	21	18.2	11	43.2	46	SD
X-1479	cetuximab + encorafenib	"EGFR,BRAF"	combo	130.2	21	45.6	11	18.4	39	PD
X-1479	CGM097	MDM2	single	221.9	22	27.1	12	15.4	22	PD
X-1479	CKX620	MAPK	single	-28.7	49	-8.2	56	56	56	SD
X-1479	CLR457	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	11.1	10	9.5	14	46.3	80	SD-->PD
X-1479	HDM201	MDM2	single	120.7	21	24.3	14	18	24	PD
X-1479	LEE011	"CDK4,CDK6,CDK4/6"	single	0.2	10	0.7	13	27	27	SD-->PD
X-1479	encorafenib	BRAF	single	100.1	20	7.4	13	20	31	PD
X-1479	LJC049	TNKS	single	171.7	20	35.1	13	12.9	20	PD
X-1479	LKA136	"NTRK1,NTRK2,NTRK3"	single	119.6	20	19	13	18.9	20	PD
X-1479	binimetinib	"MAP2K1,MAP2K2,MAPK"	single	-1.1	10	1.1	13	70.5	87	SD-->PD
X-1479	untreated	"UNKNOWN,Untreated"	single	-4.1	11	-4.4	11	88	88	SD-->PD
X-1499	BGJ398	FGFR	single	158.3	15	56.3	11	9.2	15	PD
X-1499	BKM120	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	216.7	15	52.7	11	7.4	15	PD
X-1499	BKM120 + binimetinib	"panPI3K,MAPK,MAP2K1,MAP2K2,PIK3CA,PIK3CB,PIK3CG,PIK3CD"	combo	151.9	20	30.9	13	13.1	25	PD
X-1499	BYL719	PIK3CA	single	268.6	9	153.8	9	4	9	PD
X-1499	BYL719 + LGH447	"PIK3CA,PIM"	combo	517.1	15	124.2	11	5.7	15	PD
X-1499	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	136.8	15	54.4	11	9.3	15	PD
X-1499	cetuximab	EGFR	single	653.1	15	209.7	14	5	15	PD
X-1499	CGM097	MDM2	single	-100	21	-82.5	100	100	100	CR
X-1499	CKX620	MAPK	single	182.2	22	50.6	11	13.1	26	PD
X-1499	CLR457	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	295.2	15	84.8	14	9.5	15	PD
X-1499	HDM201	MDM2	single	500.5	15	180.3	14	5.6	15	PD
X-1499	erlotinib	EGFR	single	307.7	15	98.8	14	9.4	15	PD
X-1499	HSP990	HSP90	single	132.6	11	72.3	11	6.9	11	PD
X-1499	INC280	MET	single	229.6	8	108.5	8	4.1	8	PD
X-1499	LCL161 + paclitaxel	"BIRC2,TUBB,Tubulin"	combo	212.3	13	69.3	13	9.9	13	PD
X-1499	LEE011	"CDK4,CDK6,CDK4/6"	single	-76.1	56	-29.9	94	112.8	139	PR-->-->PD
X-1499	LGH447	PIM	single	247	9	122.7	9	5.5	9	PD
X-1499	LLM871	FGFR2/4	single	228.8	5	127.2	5	4	5	PD
X-1499	binimetinib	"MAP2K1,MAP2K2,MAPK"	single	236.3	16	102.6	11	3.8	16	PD
X-1499	paclitaxel	Tubulin	single	267.3	11	120.5	11	4.8	11	PD
X-1499	untreated	"UNKNOWN,Untreated"	single	412.9	12	185.4	12	5	12	PD
X-1499	LFW527 + binimetinib	"IGF1R,MAP2K1,MAP2K2"	combo	-19.7	10	-4.55	14	20.61048689	24	SD-->PD
X-1500	5FU	chemotherapy	single	-20.5	28	-8.3	57	76	76	SD-->-->PD
X-1500	BKM120	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	-94.4	154	-55	154	154	154	PR
X-1500	BKM120 + LJC049	"panPI3K,TNKS"	combo	-55	31	-22.1	31	31	31	PR
X-1500	BYL719	PIK3CA	single	-57.2	25	-34.9	49	49	49	PR-->PD
X-1500	BYL719 + cetuximab	"PIK3CA,EGFR"	combo	-100	101	-80.5	118	118	118	CR
X-1500	BYL719 + cetuximab + encorafenib	"PIK3CA,EGFR,BRAF"	combo	-100	57	-72.2	69	69	69	CR
X-1500	BYL719 + encorafenib	"PIK3CA,BRAF"	combo	36	28	62.5	18	32.3	36	PD
X-1500	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	-34.1	18	-21.5	18	49	49	SD-->PD
X-1500	BYL719 + binimetinib	"PIK3CA,MAPK"	combo	-85.9	25	-66.7	68	122	122	PR-->-->PD
X-1500	cetuximab	EGFR	single	-93	106	-54.2	123	123	123	PR
X-1500	cetuximab + encorafenib	"EGFR,BRAF"	combo	-100	87	-79.6	123	123	123	CR
X-1500	CGM097	MDM2	single	216.4	22	98.2	22	6.6	29	PD
X-1500	CKX620	MAPK	single	-6	32	2.8	32	53	53	SD-->PD
X-1500	CLR457	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	-72.4	41	-51.8	75	75	75	PR
X-1500	HDM201	MDM2	single	491.3	22	173.5	22	6.4	32	PD
X-1500	LEE011	"CDK4,CDK6,CDK4/6"	single	-6.4	38	4	25	56	56	SD-->PD
X-1500	encorafenib	BRAF	single	264.9	22	119.3	22	5	29	PD
X-1500	LJC049	TNKS	single	124.6	25	14.9	18	19.6	25	PD
X-1500	LKA136	"NTRK1,NTRK2,NTRK3"	single	59.3	21	18.8	17	21	21	PD
X-1500	binimetinib	"MAP2K1,MAP2K2,MAPK"	single	-29.1	28	-6.7	53	86.5	129	SD-->PD
X-1500	untreated	"UNKNOWN,Untreated"	single	289	25	59.5	11	8.8	32	PD
X-1500	LFW527 + binimetinib	"IGF1R,MAP2K1,MAP2K2"	combo	40.6	24	12.91666667	15	35.95930233	143	PD
X-152	BYL719	PIK3CA	single	-8.7	14	-2.4	17	37.3	91	SD-->PD
X-152	HSP990	HSP90	single	41.9	23	28.3	13	32.4	97	PD
X-152	LEE011	"CDK4,CDK6,CDK4/6"	single	-12.5	23	1.5	23	27	27	SD
X-1536	5FU	chemotherapy	single	34.9	24	21.3	14	46	46	SD-->PD
X-1536	BKM120	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	42.3	20	16.2	13	40.6	44	PD
X-1536	BKM120 + LJC049	"panPI3K,TNKS"	combo	-8.6	24	-0.9	27	69	69	SD-->PD
X-1536	BYL719	PIK3CA	single	114.5	21	19.6	13	19.9	44	PD
X-1536	BYL719 + cetuximab	"PIK3CA,EGFR"	combo	8.8	11	7.3	11	91	91	SD
X-1536	BYL719 + cetuximab + encorafenib	"PIK3CA,EGFR,BRAF"	combo	7.1	13	3.5	13	45.2	49	SD-->PD
X-1536	BYL719 + encorafenib	"PIK3CA,BRAF"	combo	103.3	23	8.9	13	22.7	43	PD
X-1536	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	7.4	14	9.2	14	39.5	43	SD-->PD
X-1536	BYL719 + binimetinib	"PIK3CA,MAPK"	combo	-24.2	10	-14.9	20	20	20	SD
X-1536	cetuximab	EGFR	single	118.9	22	24.4	12	19.8	42	PD
X-1536	cetuximab + encorafenib	"EGFR,BRAF"	combo	52	21	20.2	14	28.4	43	PD
X-1536	CKX620	MAPK	single	8.1	10	7.3	13	95	95	SD-->PD
X-1536	CLR457	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	-11.2	24	-2.2	37	76.9	91	SD-->PD
X-1536	HDM201	MDM2	single	4.6	13	3.9	13	46	46	SD-->PD
X-1536	LEE011	"CDK4,CDK6,CDK4/6"	single	-54.9	71	-28.5	89	89	89	PR
X-1536	encorafenib	BRAF	single	146.9	20	35.7	11	13.4	41	PD
X-1536	LJC049	TNKS	single	159.3	21	45.3	15	13.5	30	PD
X-1536	LKA136	"NTRK1,NTRK2,NTRK3"	single	59.9	21	23.3	15	24.5	45	PD
X-1536	binimetinib	"MAP2K1,MAP2K2,MAPK"	single	-52.2	82	-17.6	89	89	89	SD
X-1536	untreated	"UNKNOWN,Untreated"	single	107.6	23	15.2	13	22.1	43	PD
X-1538	BYL719	PIK3CA	single	-6.9	28	-1.7	11	56	56	SD
X-1538	BYL719 + binimetinib	"PIK3CA,MAPK"	combo	-3.9	14	-1.8	18	53	53	SD
X-1538	cetuximab	EGFR	single	71.1	17	20.6	13	17	17	PD
X-1538	CLR457	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	5.5	21	8.9	11	49	49	SD
X-1538	LEE011	"CDK4,CDK6,CDK4/6"	single	-21.2	35	-15.1	49	66	66	SD
X-1538	encorafenib	BRAF	single	0.8	11	0.6	11	32	32	SD-->PD
X-1538	untreated	"UNKNOWN,Untreated"	single	3.4	10	2.3	15	76	76	SD-->PD
X-154	BGJ398	FGFR	single	358.9	20	55.6	11	9.2	24	PD
X-154	BKM120	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	-8.4	11	8.1	17	31.6	73	SD-->PD
X-154	BYL719	PIK3CA	single	294.9	21	53.9	14	9.7	42	PD
X-154	BYL719 + HSP990	"PIK3CA,HSP90"	combo	-2.8	20	18.8	24	36.1	66	SD-->PD
X-154	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	98.4	21	21.7	11	21.2	46	PD
X-154	CLR457	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	25.1	26	15.4	18	37.3	67	SD-->PD
X-154	HDM201	MDM2	single	152.4	21	56.1	14	13.1	49	PD
X-154	figitumumab	IGF1R	single	83.1	20	24.8	14	21.4	41	PD
X-154	HSP990	HSP90	single	96.1	29	48.1	14	16.8	60	PD
X-154	INC280	MET	single	-95.5	18	-73.1	26	88	88	CR-->PD
X-154	INC280 + trastuzumab	"ERBB2,MET"	combo	-100	19	-78.9	23	23	23	CR
X-154	LEE011	"CDK4,CDK6,CDK4/6"	single	57	23	22.5	13	29.2	54	PD
X-154	LEE011 + everolimus	"CDK4,CDK6,MTOR,CDK4/6"	combo	-56.9	14	-30.8	25	77	77	PR-->PD
X-154	LJM716	ERBB3	single	348	21	33.4	11	11.8	25	PD
X-154	LJM716 + trastuzumab	"ERBB3,ERBB2"	combo	355.3	20	99.5	13	7.3	23	PD
X-154	binimetinib	"MAP2K1,MAP2K2,MAPK"	single	246.8	21	39.3	13	13	42	PD
X-154	everolimus	MTOR	single	9.5	14	6.3	14	43.4	64	SD-->PD
X-154	trastuzumab	ERBB2	single	337.9	20	63	14	11.3	23	PD
X-154	untreated	"UNKNOWN,Untreated"	single	277.1	21	108.6	14	6.2	21	PD
X-158	BGJ398	FGFR	single	-17.1	10	-6.7	14	44.3	73	SD-->PD
X-158	BKM120	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	-34.3	14	-25.3	14	50	78	SD-->PD
X-158	BYL719	PIK3CA	single	-10.9	10	-4.4	14	87.6	107	SD-->PD
X-158	BYL719 + HSP990	"PIK3CA,HSP90"	combo	64.3	48	20.7	15	28.2	48	PD
X-158	CLR457	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	-37.8	107	-0.7	114	114	114	SD-->PD
X-158	HDM201	MDM2	single	112.9	20	32.9	14	16.3	42	PD
X-158	figitumumab	IGF1R	single	250.4	20	62	14	11.3	30	PD
X-158	HSP990	HSP90	single	128.5	26	34.7	14	18.4	43	PD
X-158	INC280	MET	single	163	25	35.5	14	18.6	32	PD
X-158	INC280 + trastuzumab	"ERBB2,MET"	combo	-75.7	53	-31.4	133	133	133	PR-->-->PD
X-158	LEE011	"CDK4,CDK6,CDK4/6"	single	75	20	12	14	24	63	PD
X-158	LEE011 + everolimus	"CDK4,CDK6,MTOR,CDK4/6"	combo	-81.2	97	-49	114	114	114	PR
X-158	LJM716	ERBB3	single	19.7	9	9.3	15	34.1	52	SD-->PD
X-158	LJM716 + trastuzumab	"ERBB3,ERBB2"	combo	95.1	23	-2.4	13	23	23	PD
X-158	LLM871	FGFR2/4	single	42.1	30	48.2	13	48.1	73	PD
X-158	binimetinib	"MAP2K1,MAP2K2,MAPK"	single	-12.1	25	4.3	25	36	36	SD-->PD
X-158	everolimus	MTOR	single	10.5	10	14.7	14	56.5	94	SD-->PD
X-158	trastuzumab	ERBB2	single	82.4	22	25	14	23.8	35	PD
X-158	untreated	"UNKNOWN,Untreated"	single	53.7	22	47.5	13	9	60	PD
X-1586	BGJ398	FGFR	single	6.3	11	-8.8	11	35	35	SD-->PD
X-1586	BKM120	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	-45.4	28	-26.7	18	68	117	SD-->PD
X-1586	BKM120 + binimetinib	"panPI3K,MAPK,MAP2K1,MAP2K2,PIK3CA,PIK3CB,PIK3CG,PIK3CD"	combo	-74.1	52	-53.1	67	106	106	PR-->-->PD
X-1586	BYL719	PIK3CA	single	-47.7	18	-28.7	21	83.9	110	SD-->PD
X-1586	BYL719 + LGH447	"PIK3CA,PIM"	combo	-59.5	14	-36.4	21	54.5	63	PR-->PD
X-1586	BYL719 + LJM716	"PIK3CA,ERBB3,ERBB3,PIK3CA"	combo	-51.1	17	-37.3	24	60	106	PR-->PD
X-1586	cetuximab	EGFR	single	48.8	21	19.3	14	16.1	31	PD
X-1586	CGM097	MDM2	single	-11.5	11	-8.9	11	54.9	60	SD-->PD
X-1586	CKX620	MAPK	single	-59.1	63	-39.2	63	117	117	PR-->-->PD
X-1586	CLR457	"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K"	single	13.3	18	-3.6	11	41.6	74	SD-->PD
X-1586	HDM201	MDM2	single	-41.1	39	-22.8	14	42	42	SD
X-1586	erlotinib	EGFR	single	-46.5	12	-23.4	12	19	19	SD
X-1586	HSP990	HSP90	single	-44.5	40	-33.7	43	56	56	SD
X-1586	INC280	MET	single	42.8	21	-24.7	14	30.7	51	PD
